time,leg_x,leg_y,leg_z,foot_x,foot_y,foot_z
5.119998,-0.4848795,0.3695848,0.4293778,
5.139998,-0.4833632,0.3693292,0.4338636,
5.159998,-0.4817319,0.3691056,0.4389095,
5.179998,-0.4799845,0.3689024,0.4444162,
5.199998,-0.4781768,0.3687201,0.4501699,
5.219998,-0.4763613,0.3685539,0.4559883,
5.239998,-0.4745746,0.3684018,0.4617495,
5.259998,-0.4728539,0.3682592,0.4673595,
5.279998,-0.4712291,0.3681235,0.4727429,
5.299998,-0.4697351,0.3679926,0.4778262,
5.319998,-0.46843,0.3678665,0.4824767,
5.339998,-0.4673431,0.3677394,0.4866508,
5.359998,-0.4664903,0.3676081,0.4903191,
5.379998,-0.4658875,0.3674707,0.4934676,
5.399998,-0.4655364,0.3673267,0.4961081,
5.419998,-0.4654689,0.3671746,0.4981791,
5.439998,-0.4655304,0.366998,0.500012,
5.459998,-0.46592,0.3668296,0.5012465,
5.479998,-0.4665771,0.3666489,0.5019566,
5.499998,-0.4674695,0.3664546,0.5022099,
5.519998,-0.4685798,0.3662472,0.5020497,
5.539998,-0.469933,0.3660288,0.5014129,
5.559998,-0.4714994,0.365798,0.5003482,
5.579998,-0.4732542,0.3655553,0.4988972,
5.599998,-0.4751794,0.3653009,0.4970928,
5.619998,-0.4772806,0.3650331,0.4948925,
5.639998,-0.4795337,0.3647554,0.4923389,
5.659998,-0.4819098,0.3644667,0.4894774,
5.679998,-0.4843888,0.3641684,0.4863435,
5.699998,-0.4869447,0.3638608,0.4829811,
5.719998,-0.4895883,0.3635437,0.4793263,
5.739998,-0.4922981,0.3632171,0.4754249,
5.759998,-0.49505,0.3628829,0.4713102,
5.779998,-0.497818,0.3625424,0.4670386,
5.799998,-0.5005815,0.3621945,0.4626482,
5.819998,-0.5033476,0.36184,0.4580925,
5.839998,-0.5060925,0.3614786,0.4534214,
5.859998,-0.5088003,0.3611107,0.4486711,
5.879998,-0.5114579,0.3607385,0.4438695,
5.899998,-0.5140548,0.3603621,0.4390438,
5.919998,-0.5166495,0.3600278,0.43447,
5.939998,-0.5192089,0.3597138,0.4300434,
5.959998,-0.5217175,0.3594139,0.425775,
5.979998,-0.5241673,0.3591266,0.4216902,
5.999998,-0.5265486,0.3588455,0.4177848,
6.019998,-0.528903,0.3585916,0.4141974,
6.039998,-0.5311885,0.3583357,0.4107621,
6.059998,-0.5333977,0.3580737,0.4074784,
6.079998,-0.5355239,0.3578038,0.4043462,
6.099998,-0.5375595,0.3575242,0.4013768,
6.119998,-0.5395532,0.3572452,0.3986895,
6.139998,-0.5414586,0.3569486,0.3961401,
6.159998,-0.5432701,0.3566332,0.3937075,
6.179998,-0.5449851,0.3562982,0.3913882,
6.199998,-0.5466037,0.3559446,0.3891787,
6.219998,-0.5481234,0.3555729,0.3870719,
6.239998,-0.5495806,0.3551848,0.385216,
6.259998,-0.55094,0.3547766,0.3834357,
6.279998,-0.5521908,0.3543537,0.3817368,
6.299998,-0.5532823,0.3539457,0.3804491,
6.319998,-0.5542955,0.3535066,0.3796272,
6.339998,-0.5552335,0.3530524,0.3786715,
6.359998,-0.556066,0.352592,0.3775929,
6.379998,-0.556788,0.3521318,0.376447,
6.399998,-0.5573988,0.3516772,0.3752672,
6.419998,-0.5579109,0.351233,0.3739364,
6.439998,-0.5583129,0.350791,0.3729932,
6.459998,-0.5585971,0.3503671,0.372171,
6.479998,-0.5587695,0.3499634,0.3713916,
6.499998,-0.5588276,0.3495893,0.3706031,
6.519998,-0.5587885,0.3492401,0.3698541,
6.539998,-0.5586362,0.3489342,0.3690603,
6.559998,-0.5583696,0.3486774,0.3682232,
6.579998,-0.557992,0.3484735,0.3673647,
6.599998,-0.5575054,0.3483255,0.3665165,
6.619998,-0.5569172,0.3482311,0.365712,
6.639997,-0.5562236,0.3482034,0.3649002,
6.659997,-0.5554261,0.348248,0.364064,
6.679997,-0.5545263,0.3483677,0.3631898,
6.699997,-0.5535278,0.3485658,0.3622668,
6.719997,-0.5524325,0.3488472,0.3612688,
6.739997,-0.5512443,0.3492126,0.3602117,
6.759997,-0.5499687,0.3496652,0.3591021,
6.779998,-0.5486066,0.3502064,0.3579447,
6.799998,-0.5471616,0.3508389,0.3567449,
6.819998,-0.545629,0.3515761,0.3554497,
6.839998,-0.5440211,0.3524046,0.3541357,
6.859998,-0.5423436,0.353322,0.352815,
6.879998,-0.5414009,0.3535473,0.3505909,
6.899998,-0.5404272,0.353812,0.3482683,
6.919998,-0.5395699,0.353941,0.347153,
6.939998,-0.5388782,0.3539109,0.3471181,
6.959998,-0.538362,0.3535955,0.3492439,
6.979998,-0.5375483,0.3537283,0.3497832,
6.999998,-0.5367279,0.3538826,0.3506044,
7.019998,-0.5358815,0.3540804,0.3515985,
7.039998,-0.535018,0.3542988,0.3528396,
7.059998,-0.5341325,0.3545356,0.3542695,
7.079998,-0.5332198,0.3547916,0.3558402,
7.099998,-0.53228,0.3550568,0.3575727,
7.119998,-0.531312,0.3553329,0.3594691,
7.139997,-0.5303113,0.3556182,0.3614953,
7.159997,-0.5292759,0.3559082,0.3636309,
7.179997,-0.5282016,0.3561995,0.3658567,
7.199997,-0.5270877,0.3564873,0.3681586,
7.219997,-0.5259328,0.3567731,0.3705584,
7.239997,-0.5247352,0.3570502,0.3730537,
7.259997,-0.5234931,0.3573141,0.3756204,
7.279997,-0.5222032,0.3575621,0.378254,
7.299997,-0.5208702,0.357769,0.3809227,
7.319997,-0.519484,0.3579595,0.3835349,
7.339997,-0.5178189,0.3584652,0.3835536,
7.359997,-0.5161858,0.3585837,0.3896882,
7.379997,-0.5141668,0.3594208,0.3893407,
7.399997,-0.5121269,0.3602021,0.388499,
7.419997,-0.5099721,0.3609526,0.3885201,
7.439997,-0.507766,0.3616455,0.3890439,
7.459997,-0.5055046,0.3622963,0.3900392,
7.479997,-0.5031881,0.3629231,0.3914264,
7.499997,-0.5008187,0.3635373,0.3931133,
7.519997,-0.498385,0.3641493,0.395133,
7.539997,-0.495887,0.3647692,0.3974336,
7.559998,-0.49333,0.365402,0.3999502,
7.579998,-0.4907184,0.3661053,0.4049623,
7.599998,-0.4881032,0.3666761,0.4113446,
7.619998,-0.4855242,0.3671381,0.4172438,
7.639997,-0.4830248,0.3675864,0.4228142,
7.659997,-0.4807034,0.3680449,0.4280208,
7.679997,-0.4784942,0.3681331,0.4269372,
7.699997,-0.47615,0.3687544,0.4326786,
7.719997,-0.4737191,0.3693292,0.4382663,
7.739997,-0.4712219,0.3698065,0.4437032,
7.759997,-0.4686956,0.3702416,0.4490892,
7.779997,-0.4661226,0.3706686,0.4546902,
7.799997,-0.4635286,0.3710809,0.4602,
