Time,TargetYaw,RealYaw,TargetHip,RealHip,TargetKnee,RealKnee
4.933455,-103.5356,-94.98977,-3.978585,-3.979576,111.4979,111.9744
4.950664,-104.0709,-95.8292,-3.89189,-3.859842,111.0071,111.4749
4.966266,-104.0709,-95.8292,-3.89189,-3.859842,111.0071,111.4749
4.983078,-105.0571,-96.67651,-3.682025,-3.704126,110.0386,110.7604
4.999789,-105.5295,-97.49472,-3.554629,-3.556226,109.541,110.1368
5.016891,-105.977,-98.28281,-3.415084,-3.420675,109.0468,109.5862
5.033518,-106.4121,-99.04034,-3.259315,-3.288079,108.5423,109.0672
5.050421,-106.8129,-99.7683,-3.095705,-3.160792,108.0541,108.5701
5.066974,-106.8129,-99.7683,-3.095705,-3.160792,108.0541,108.5701
5.083227,-107.553,-100.4916,-2.731686,-2.939031,107.0817,107.8542
5.10021,-107.8807,-101.1752,-2.538863,-2.708429,106.6158,107.2382
5.116823,-108.2007,-101.8254,-2.326796,-2.49228,106.1346,106.6931
5.133031,-108.4918,-102.4427,-2.109292,-2.276001,105.6702,106.1886
5.149453,-108.7549,-103.0254,-1.887919,-2.068875,105.2239,105.7111
5.16677,-108.7549,-103.0254,-1.887919,-2.068875,105.2239,105.7111
5.181517,-109.2363,-103.596,-1.399875,-1.751708,104.3194,105.0348
5.1992,-109.4188,-104.1315,-1.175691,-1.460528,103.9356,104.4811
5.216295,-109.6151,-104.638,-0.8987675,-1.171064,103.4855,103.9867
5.233613,-109.7817,-105.1119,-0.6230874,-0.9029703,103.0615,103.5229
5.249671,-109.9273,-105.5553,-0.3362775,-0.63851,102.6437,103.0812
5.266243,-109.9273,-105.5553,-0.3362775,-0.63851,102.6437,103.0812
5.283245,-110.1382,-105.9766,0.2231628,-0.2560047,101.891,102.4929
5.300097,-110.2154,-106.3664,0.5237423,0.1134606,101.5175,101.9971
5.31614,-110.2698,-106.7253,0.8272828,0.4514912,101.1605,101.5719
5.332994,-110.3011,-107.0538,1.121124,0.7612565,100.8333,101.1954
5.349892,-110.3125,-107.3529,1.43461,1.063477,100.5031,100.842
5.366814,-110.3125,-107.3529,1.43461,1.063477,100.5031,100.842
5.382906,-110.2691,-107.621,2.077078,1.498861,99.88348,100.3623
