time,x_rel,y_rel,z_rel
9.639997,-2.653579,-1.318146,-0.01042125
9.659997,-2.653803,-1.318049,-0.01053033
9.679996,-2.654041,-1.318013,-0.01056256
9.699997,-2.654279,-1.317997,-0.01049324
9.719996,-2.654458,-1.317992,-0.01033207
9.739997,-2.654584,-1.317988,-0.01007775
9.759996,-2.654668,-1.318002,-0.009746831
9.779997,-2.654728,-1.318043,-0.00935121
9.799996,-2.654803,-1.31812,-0.00891773
9.819997,-2.654885,-1.318232,-0.008460519
9.839996,-2.654979,-1.318382,-0.007989207
9.859997,-2.655087,-1.318573,-0.007519727
9.879996,-2.655216,-1.318798,-0.007061548
9.899997,-2.655371,-1.319054,-0.006622945
9.919996,-2.655549,-1.319335,-0.006211189
9.939997,-2.655754,-1.319634,-0.00583292
9.959996,-2.655979,-1.31995,-0.005493007
9.979997,-2.656225,-1.320278,-0.005194719
9.999996,-2.656487,-1.32062,-0.00494206
10.02,-2.656757,-1.320979,-0.004727887
10.04,-2.657045,-1.32135,-0.004567191
10.06,-2.657322,-1.321738,-0.004448423
10.08,-2.657602,-1.322156,-0.004374988
10.1,-2.657887,-1.322588,-0.004343936
10.12,-2.658162,-1.323007,-0.004366064
10.14,-2.658436,-1.323356,-0.004457094
10.16,-2.6587,-1.323607,-0.004607799
10.18,-2.658946,-1.323758,-0.004807348
10.2,-2.659157,-1.32382,-0.005045407
10.22,-2.659315,-1.323815,-0.005310293
10.24,-2.659415,-1.323763,-0.005583634
10.26,-2.659451,-1.323684,-0.005855454
10.28,-2.659425,-1.323593,-0.006114163
10.3,-2.659342,-1.3235,-0.006348249
10.32,-2.659211,-1.323412,-0.006547796
10.34,-2.659045,-1.323333,-0.006705231
10.36,-2.658858,-1.323265,-0.006815442
10.38,-2.658665,-1.323207,-0.006875692
10.4,-2.658479,-1.323159,-0.006885815
10.42,-2.658311,-1.32312,-0.0068478
10.44,-2.65817,-1.323088,-0.00676585
10.46,-2.658057,-1.323056,-0.00665104
10.48,-2.657976,-1.323035,-0.00650996
10.5,-2.657935,-1.323022,-0.006349997
10.52,-2.657928,-1.323017,-0.00617587
10.54,-2.657948,-1.32302,-0.005996131
10.56,-2.657992,-1.32303,-0.005818954
10.58,-2.658053,-1.323045,-0.00565171
10.6,-2.658125,-1.323065,-0.005500925
10.62,-2.658202,-1.323089,-0.005371914
10.64,-2.658279,-1.323113,-0.005268874
10.66,-2.658352,-1.323136,-0.005194504
10.68,-2.658417,-1.323159,-0.00515009
10.7,-2.65847,-1.323179,-0.005135645
10.72,-2.658511,-1.323195,-0.005149826
10.74,-2.658539,-1.323207,-0.005190103
10.76,-2.658554,-1.323214,-0.00525303
10.78,-2.658557,-1.323217,-0.005334456
10.8,-2.658549,-1.323217,-0.005429733
10.82,-2.658533,-1.323213,-0.00553385
10.84,-2.65851,-1.323206,-0.005641893
10.86,-2.658484,-1.323198,-0.005749109
10.88,-2.658455,-1.323189,-0.005851068
10.9,-2.658427,-1.32318,-0.005943973
10.92,-2.6584,-1.323171,-0.00602463
10.94,-2.658376,-1.323163,-0.006090721
10.96,-2.658357,-1.323157,-0.006140545
10.98,-2.658344,-1.323152,-0.006173304
11,-2.658335,-1.323149,-0.006189001
